siteID,Latitude,Longitude
BEB-05-501,49.27632,-123.153383
BEB-05-501A,49.275615,-123.154045
BEB-05-502,49.274816,-123.154753
BEB-05-503,49.273636,-123.155651
BEB-09-512,49.27867,-123.148523
BEB-09-511,49.278265,-123.149027
BEB-09-542,49.277926,-123.146079
BEB-06-605,49.275034,-123.198364
BEB-06-604,49.274282,-123.196832
BEB-06-603,49.273836,-123.196506
BEB-06-602,49.272885,-123.194473
BEB-06-601,49.27292,-123.191415
BEB-06-647,49.271832,-123.173706
BEB-04-401,49.282055,-123.141937
BEB-04-402,49.27961,-123.13956
BEB-04-403,49.278746,-123.138559
BEB-04-404,49.276529,-123.136792
BEB-03-303,49.28831,-123.143751
BEB-03-304,49.286726,-123.143846
BEB-03-305,49.285592,-123.144071
BFC-01-16,49.275049,-123.139048
BFC-01-23,49.27276,-123.132331
BFC-01-18,49.270036,-123.130383
BEB-01-100,49.304462,-123.15687
BEB-01-101,49.303252,-123.157095
BEB-01-102,49.302181,-123.157334
BEB-08-804,49.278278,-123.225706
BEB-08-812,49.27811,-123.220852
BEB-08-801,49.277121,-123.215476
BTW-03-30,49.265447,-123.26481
BTW-03-23,49.263348,-123.263064
BTW-03-22,49.262179,-123.262701
BTW-03-21,49.259956,-123.262951
BTW-06-19,49.25592,-123.256187
BTW-06-18,49.255624,-123.255776
BTW-04-24,49.268386,-123.26345
BTW-04-26,49.271819,-123.260416
BFC-02-20,49.272992,-123.104359
BFC-02-21,49.275029,-123.108513
BFC-02-22,49.275702,-123.107735
BEB-02-201,49.294979,-123.150814
BEB-02-202,49.29372,-123.150165
BIB-01-17,49.220834,-123.216858
BIB-01-16,49.219431,-123.21525
BIB-01-15,49.217805,-123.214778
BBR-01-01,49.302535,-123.126033
BBR-01-05,49.301054,-123.123969
BBR-01-07,49.300324,-123.118176
BCP-01-01,49.285368,-123.101873
BCP-01-02,49.285413,-123.102758
BWV-05-07,49.333127,-123.184132
BWV-05-08,49.332521,-123.18319
BWV-04-01,49.340578,-123.227066
BWV-04-02,49.340307,-123.226453
BWV-02-22,49.353826,-123.269136
BWV-02-25,49.353579,-123.268625
BWV-03-21,49.372426,-123.291728
BWV-03-24,49.37158,-123.29085
BBI-01-33,49.300672,-122.957346
BBI-01-36,49.300245,-122.956077
BBI-01-30,49.300772,-122.955146
BBI-01-31,49.301438,-122.954364
BBI-01-32,49.302328,-122.953753
BBI-02-35,49.328179,-122.948802
BBI-02-39,49.327793,-122.948539
BBI-02-37,49.326879,-122.948113
BBI-02-38,49.326273,-122.947952
BWV-01-16,49.326119,-123.152684
BWV-01-19,49.325025,-123.151812
BWV-01-14,49.323222,-123.150632
BWV-01-13,49.322497,-123.14942
BEB-07-704,49.276206,-123.210817
BEB-07-703A,49.275616,-123.208733
BEB-07-703,49.27589,-123.2061
BEB-07-701,49.27654,-123.202564
BTW-02-10,49.279758,-123.24511
BTW-02-09,49.279939,-123.243782
BTW-01-08,49.279387,-123.237176
BTW-01-07,49.279208,-123.234968
